feature,importance
grammar_error_rate,0.09867355552940683
reading_error_rate,0.08699252916801868
vocabulary_error_rate,0.07202432570741385
median_response_time,0.07020384246861554
mean_response_time,0.054542038426246095
hint_usage_rate,0.04724107767870256
listening_error_rate,0.04579306927910635
vocabulary_mean_response_time,0.03796708306379739
learning_efficiency_index,0.03442180365274823
error_frequency,0.034245095774292154
reading_mean_response_time,0.03312622952786696
retry_frequency,0.03271699783778946
grammar_mean_response_time,0.031990302424862734
listening_mean_response_time,0.030957237485693942
retention_score,0.029927324478222002
mastery_score,0.025556056233434515
error_rate,0.02522006709351079
improvement_velocity,0.024089836660488056
progression_score,0.02350327044969925
improvement_trend,0.019261031122495977
error_repetition_score,0.018608808725001796
motivation_score,0.01774627049619865
consistency_score,0.01764765682075649
interaction_count,0.017375036490904064
session_count,0.016163783706016586
learning_speed,0.014773309077515562
age,0.012879303640814266
study_frequency,0.009141467425000716
