learner_id,learner_archetype,weakness_category,traditional_mastery_growth,adaptive_mastery_growth,traditional_learning_speed,adaptive_learning_speed,traditional_error_reduction,adaptive_error_reduction,traditional_engagement,adaptive_engagement
L001,plateau_learner,reading_weakness,4.011900566432055,12.703190072086292,0.01,0.017220488970010356,0.15883037053052684,0.29726499584492627,0.8676637957351064,0.9699721636424123
L002,grammar_weak,grammar_weakness,1.422253222264258,17.511500959019777,0.01,0.02154266004491572,0.21296810199659288,0.34,1.0,1.0
L003,slow_learner,balanced_learner,2.424824214583992,11.670824772740492,0.01,0.01224082932069966,0.09276228828403932,0.20482603882033978,0.9884516992170607,1.0
L004,reading_weak,reading_weakness,3.9397029926491296,17.34730587346779,0.01,0.023471251117552255,0.17619175570529202,0.34,0.8904497477620708,1.0
L005,plateau_learner,vocabulary_weakness,2.174128210015169,12.809407272083929,0.01,0.015510976222786464,0.10414712735942978,0.24443747247011136,0.9946824872836383,1.0
L006,grammar_weak,grammar_weakness,3.184868449126634,12.857696595019668,0.01,0.021907725748917854,0.13381487249514018,0.3324038695209301,1.0,1.0
L007,fast_improver,grammar_weakness,9.094229556850951,12.480219532388533,0.01357370968337535,0.022669347917899384,0.08539563288170376,0.2640875160531138,1.0,1.0
L008,grammar_weak,grammar_weakness,5.057836635931,13.466807549882352,0.01,0.011366908886255186,0.17065088315256824,0.34,1.0,1.0
L009,grammar_weak,grammar_weakness,1.8584710286742845,11.484355110177502,0.01,0.016100489470907933,0.1364789646981733,0.3087763799619244,1.0,1.0
L010,listening_weak,listening_weakness,0.6294092128061164,12.871161535755606,0.01,0.013826541566220419,0.17511391821898992,0.34,1.0,1.0
L011,balanced_learner,balanced_learner,3.2646178083891657,10.4941454086414,0.01,0.01180456131243976,0.11643162745481338,0.23927269264706008,0.99478418499072,1.0
L012,slow_learner,balanced_learner,3.6250042547501105,12.804293470415919,0.01,0.012751022212550546,0.13815551440311816,0.2855197300767751,0.8748373112567771,1.0
L013,grammar_weak,grammar_weakness,4.173637487041766,13.379991765613005,0.01,0.011527998942742793,0.1741726728135593,0.34,0.9928807687421709,1.0
L014,fast_improver,vocabulary_weakness,8.806561691084891,11.547612290728976,0.011732488214588534,0.019712977039290928,0.13173445111790894,0.26734052562852395,1.0,1.0
L015,plateau_learner,reading_weakness,0.0,12.136935068509567,0.01,0.01,0.15218414373547723,0.2989412439412371,0.9527842903612251,1.0
